Date,BTC_USDT_Price,ETH_USDT_Price,BTC_Amount,ETH_Amount
2024/10/4 00:49,60590.4,2343.52,1e-05,0.540073
2024/10/4 00:49,60590,2343.4,0.02274438,10.340184
2024/10/4 00:49,60582,2342.91,0.00342485,0.000426
2024/10/4 00:49,60582,2342.85,0,0.20826
2024/10/4 00:49,60582,2342.85,0,0
2024/10/4 00:49,60582,2342.84,0,0.502047
2024/10/4 00:49,60582,2342.84,0,0
2024/10/4 00:49,60582,2342.84,0,0
2024/10/4 00:49,60582,2342.85,0,0.198383
2024/10/4 00:49,60582,2342.85,0,0
2024/10/4 00:49,60582,2342.85,0,0.134254
2024/10/4 00:49,60582.1,2342.84,6.829e-05,0.0001
2024/10/4 00:49,60582.1,2342.85,0,0.189379
2024/10/4 00:49,60582.1,2342.85,0.0028952,0.477763
2024/10/4 00:49,60582,2342.84,0.06880804,0.050287
2024/10/4 00:49,60572,2342.35,0.01834578,0.996
2024/10/4 00:49,60568.1,2342.03,0.00252119,0.195876
2024/10/4 00:49,60568.1,2342.03,0,0
2024/10/4 00:49,60568.1,2342.03,0,0
2024/10/4 00:49,60568.1,2342.03,0,0
2024/10/4 00:49,60568.1,2342.03,0,0
2024/10/4 00:49,60568.1,2342.03,0,0.167827
2024/10/4 00:49,60568.1,2341.99,0,0.201379
2024/10/4 00:49,60568.1,2341.99,0,0.19338
2024/10/4 00:49,60568,2341.99,0.06254917,0.0001
2024/10/4 00:49,60564,2341.99,1e-05,0
2024/10/4 00:49,60564,2341.99,0,0
2024/10/4 00:49,60564,2342,0,3.787608
2024/10/4 00:49,60564,2341.99,0,0.0001
2024/10/4 00:49,60564,2341.99,0.11110401,0
2024/10/4 00:49,60564,2342,0,0.000853
2024/10/4 01:05,60580.5,2343.99,0.48612293,0.007779
2024/10/4 01:05,60580.1,2343.79,0.45884081,16.846576
2024/10/4 01:05,60572.1,2343.79,9.254e-05,0
2024/10/4 01:05,60572,2343.21,0.00547097,0.009718
2024/10/4 01:05,60566.1,2343.05,0.0068195,0.0001
2024/10/4 01:05,60562.1,2342.93,1e-05,0.0002
2024/10/4 01:05,60562,2342.76,0.01459728,0.614474
2024/10/4 01:05,60555.5,2342.36,0.00470916,0.134693
2024/10/4 01:05,60552.1,2342.11,0.00514476,0.0001
2024/10/4 01:05,60552.5,2342,0.00342945,0.364034
2024/10/4 01:05,60556.5,2342.1,0.17917198,0.206476
2024/10/4 01:05,60566,2342.33,0.04908622,0.0001
2024/10/4 01:05,60566,2342.34,0,0.201583
2024/10/4 01:05,60565.9,2342.2,0.02911844,0.0001
2024/10/4 01:05,60560.3,2341.88,0.0209053,0.0001
2024/10/4 01:05,60554.3,2341.77,1e-05,0.20218
2024/10/4 01:05,60557.5,2341.77,0.03939854,0
2024/10/4 01:05,60561.6,2341.86,0.00347614,3.398629
2024/10/4 01:05,60561.6,2341.76,0,0.0001
2024/10/4 01:05,60562.5,2341.77,0.11108007,0.215469
2024/10/4 01:05,60558.1,2341.75,0.00143856,0.203277
2024/10/4 01:05,60558.1,2341.74,0,0.018302
2024/10/4 01:05,60558,2341.74,0.00775563,0
2024/10/4 01:05,60556,2341.75,0.00175437,3.412865
2024/10/4 01:05,60550.2,2341.29,1e-05,0.0051
2024/10/4 01:05,60552.5,2341.17,0.00446574,0.242426
2024/10/4 01:05,60554,2341.28,0.00379908,0.002308
2024/10/4 01:05,60554,2341.28,0,0
2024/10/4 01:05,60554,2341.28,0.0164928,0.0002
2024/10/4 01:05,60554,2341.28,0,0
2024/10/4 01:05,60554,2341.28,0.00015862,0
2024/10/4 01:05,60554,2341.28,0,0
2024/10/4 01:05,60554,2341.28,0,0
2024/10/4 01:05,60553.7,2341.39,0.06815018,0.596952
2024/10/4 01:05,60534,2340.59,0.04678643,0.0069
2024/10/4 01:05,60525.1,2340.27,0.00316374,9.841076
2024/10/4 01:05,60522,2339.89,0.01973026,0.971826
2024/10/4 01:05,60518.1,2339.72,0.47867134,84.334492
2024/10/4 01:05,60518.1,2341.05,0,0.010065
2024/10/4 01:05,60518.1,2341.05,0,0
2024/10/4 01:05,60518.1,2341.05,0,0
2024/10/4 01:05,60518.1,2341.05,0,0
2024/10/4 01:05,60528.7,2340.99,0.32400659,0.4802
2024/10/4 01:05,60512,2340.59,1e-05,0.0811
2024/10/4 01:05,60512,2340.59,0,0
2024/10/4 01:05,60512.1,2340.59,0.00250751,0.426175
2024/10/4 01:05,60512.1,2340.59,0.02959285,0
2024/10/4 01:05,60513.2,2340.59,0.77657423,0
2024/10/4 01:05,60513.2,2340.59,0,0
2024/10/4 01:05,60512,2340.59,3.546e-05,0
2024/10/4 01:05,60512,2340.6,0,1.465132
2024/10/4 01:05,60511.9,2340.6,0.00025,0
2024/10/4 01:05,60511.9,2340.7,0.00014521,4.288305
2024/10/4 01:05,60512,2340.81,0.00133,0.013345
2024/10/4 01:05,60512,2340.81,0,0
2024/10/4 01:05,60512,2340.94,0,0.0001
2024/10/4 01:05,60512,2340.81,0,0.0001
2024/10/4 01:05,60512,2340.82,0,0.000226
2024/10/4 01:05,60512,2340.82,0,0
2024/10/4 01:05,60512,2340.82,0,0
2024/10/4 01:06,60513.2,2340.81,0.00428049,0.043191
2024/10/4 01:06,60513.2,2340.92,0,0.0101
2024/10/4 01:06,60521.6,2340.92,9.261e-05,0
2024/10/4 01:06,60522,2340.92,0.14639352,0
2024/10/4 01:06,60525.9,2340.81,0.01921188,0.782066
2024/10/4 01:06,60537.4,2340.81,0.00022,0
2024/10/4 01:06,60538.9,2341.31,0.00207956,0.0001
2024/10/4 01:06,60540,2341.31,0.016528,0
2024/10/4 01:06,60540.4,2341.19,0.00373134,2.234362
2024/10/4 01:06,60546.5,2341.96,0.00385,0.132305
2024/10/4 01:06,60552.5,2342.22,0.0028877,0.0003
2024/10/4 01:06,60552.5,2342.22,0,0
2024/10/4 01:06,60552.5,2342.22,0,0
2024/10/4 01:06,60556,2342.45,0.02199446,1.758817
2024/10/4 01:06,60564.6,2343.04,0.00158721,0.0001
2024/10/4 01:06,60566,2343.13,0.0410841,1.784452
2024/10/4 01:06,60566,2344.09,0,1.597565
2024/10/4 01:06,60566,2344.09,0,0
2024/10/4 01:06,60585.9,2344.1,3e-05,0.0001
2024/10/4 01:06,60585.9,2343.99,0,0.008632
2024/10/4 01:06,60582.1,2343.99,0.56336282,0.020646
2024/10/4 01:06,60576.6,2343.75,0.00886397,0.5697
2024/10/4 01:06,60572,2343.28,0.01304171,0.0051
2024/10/4 01:06,60567,2343.17,0.0634452,0.949362
2024/10/4 01:06,60558.8,2342.93,1e-05,0.0001
2024/10/4 01:06,60558.7,2342.81,0.01367236,0.005416
2024/10/4 01:06,60566,2343.04,0.00413946,0.013746
2024/10/4 01:06,60566,2343.17,0,0.0001
2024/10/4 01:06,60567.1,2343.17,0.02338368,0
2024/10/4 01:06,60567.1,2343.27,0,0.000953
2024/10/4 01:06,60573.8,2343.05,0.003146,0.0001
2024/10/4 01:06,60568,2343.05,0.00919433,0
2024/10/4 01:06,60566,2342.93,0.00028934,0.0001
2024/10/4 01:06,60566,2342.81,0.0032468,0.0001
2024/10/4 01:06,60566.1,2342.76,0.00347822,0.319048
2024/10/4 01:06,60566,2342.76,1e-05,0.0001
2024/10/4 01:06,60566.5,2342.8,0.01274846,0.0002
2024/10/4 01:06,60575.5,2343.04,0.0183835,0.001053
2024/10/4 01:06,60575.5,2343.16,0,0.0003
2024/10/4 01:06,60580,2343.39,0.01967233,0.0001
2024/10/4 01:21,60725.4,2350.44,0.40856668,0.0001
2024/10/4 01:21,60718,2350.4,0.0201251,13.829527
2024/10/4 01:21,60712,2350.1,0.00017467,0.0001
2024/10/4 01:21,60712.1,2350.1,0.01117719,0
2024/10/4 01:21,60712.1,2350.11,0.16801478,1.462831
2024/10/4 01:21,60712.1,2350.11,0,0.0341
2024/10/4 01:21,60712.1,2350.2,0,0.0002
2024/10/4 01:21,60712.1,2350.4,0,3.536864
2024/10/4 01:21,60712.1,2350.4,0,0
2024/10/4 01:21,60723.2,2350.54,0.00347617,0.003579
2024/10/4 01:21,60723.2,2350.54,0,10.671418
2024/10/4 01:21,60729.4,2350.78,0.20286918,2.147675
2024/10/4 01:21,60729.4,2351.14,0,0.0001
2024/10/4 01:21,60742.9,2351.24,1.021e-05,0.0002
2024/10/4 01:21,60743,2351.24,0.1634852,0
2024/10/4 01:21,60743,2351.24,0,0
2024/10/4 01:21,60743,2351.24,0,0
2024/10/4 01:21,60743,2351.24,0,0
2024/10/4 01:21,60743,2351.24,0,0
2024/10/4 01:21,60743,2351.24,0,0
2024/10/4 01:22,60745.9,2351.24,0.00480166,0
2024/10/4 01:22,60745.9,2351.24,0,0
2024/10/4 01:22,60746,2351.24,9.23e-05,0
2024/10/4 01:22,60746,2351.37,0.30958999,11.338738
2024/10/4 01:22,60751.9,2351.37,0.00251,0
2024/10/4 01:22,60751.9,2351.97,0.00165365,0.000646
